CommunityDistrict,BreedName,BreedCount,BreedSum
104.0,Golden Retriever,73,4503
104.0,Goldendoodle,15,4503
104.0,Great Dane,4,4503
104.0,Great Pyrenees,2,4503
104.0,Greater Swiss Mountain Dog,1,4503
104.0,Greyhound,8,4503
104.0,Harrier,1,4503
104.0,Havanese,105,4503
104.0,Irish Terrier,5,4503
104.0,Italian Greyhound,18,4503
104.0,Jack Russell Terrier,96,4503
104.0,"Jindo Dog, Korea",3,4503
104.0,Keeshond,2,4503
104.0,Labradoodle,38,4503
104.0,Labrador Retriever,139,4503
104.0,Labrador Retriever Crossbreed,81,4503
104.0,Lagotto Romagnolo,1,4503
104.0,Leonberger,2,4503
104.0,Lhasa Apso,23,4503
104.0,Maltese,116,4503
104.0,Maltese Crossbreed,15,4503
104.0,Maltipoo,13,4503
104.0,Manchester Terrier,2,4503
104.0,Mastiff,2,4503
104.0,"Mastiff, Bull",1,4503
104.0,"Mastiff, Old English",1,4503
104.0,Miniature American Shepherd,12,4503
104.0,Miniature Pinscher,41,4503
104.0,Miniature Schnauzer,22,4503
104.0,Morkie,24,4503
104.0,Newfoundland,6,4503
104.0,Norfolk Terrier,5,4503
104.0,Norwich Terrier,7,4503
104.0,Nova Scotia Duck Tolling Retriever,1,4503
104.0,Old English Sheepdog,2,4503
104.0,Otterhound,2,4503
104.0,Papillon,18,4503
104.0,Parson Russell Terrier,3,4503
104.0,Pekingese,25,4503
104.0,Pembroke Welsh Corgi,12,4503
104.0,Plott,1,4503
104.0,Pointer,11,4503
104.0,"Pointer, German Shorthaired",1,4503
104.0,"Pointer, German Wirehaired",1,4503
104.0,Polish Lowland Sheepdog,1,4503
104.0,Pomeranian,77,4503
104.0,Pomeranian Crossbreed,8,4503
104.0,Poodle,29,4503
104.0,Poodle Crossbreed,30,4503
104.0,"Poodle, Miniature",52,4503
104.0,"Poodle, Standard",26,4503
104.0,"Poodle, Toy",50,4503
104.0,Portuguese Podengo Pequeno,1,4503
104.0,Portuguese Water Dog,11,4503
104.0,Pug,71,4503
104.0,Pug Crossbreed,2,4503
104.0,Puggle,35,4503
104.0,Rat Terrier,13,4503
104.0,Redbone Coonhound,1,4503
104.0,Rhodesian Ridgeback,12,4503
104.0,Rottweiler,9,4503
104.0,Samoyed,4,4503
104.0,Schipperke,1,4503
104.0,Schipperkee,1,4503
104.0,Schnauzer Crossbreed,6,4503
104.0,"Schnauzer, Giant",2,4503
104.0,"Schnauzer, Miniature",76,4503
104.0,"Schnauzer, Standard",9,4503
104.0,Scottish Terrier,15,4503
104.0,Sealyham Terrier,1,4503
104.0,"Shar-Pei, Chinese",5,4503
104.0,Shetland Sheepdog,10,4503
104.0,Shiba Inu,89,4503
104.0,Shih Tzu,184,4503
104.0,Shih Tzu Crossbreed,23,4503
104.0,Siberian Husky,24,4503
104.0,Siberian Husky Crossbreed,3,4503
104.0,Silky Terrier,11,4503
104.0,Skye Terrier,1,4503
104.0,Soft Coated Wheaten Terrier,6,4503
104.0,Spinone Italiano,1,4503
104.0,Staffordshire Bull Terrier,6,4503
104.0,Terrier Crossbreed,10,4503
104.0,Terrier mix,41,4503
104.0,Tibetan Spaniel,3,4503
104.0,Tibetan Terrier,12,4503
104.0,Toy Fox Terrier,4,4503
104.0,Treeing Walker Coonhound,1,4503
104.0,Unknown,533,4503
104.0,Vizsla,15,4503
104.0,Weimaraner,7,4503
104.0,"Welsh Corgi, Cardigan",3,4503
104.0,"Welsh Corgi, Pembroke",21,4503
104.0,Welsh Springer Spaniel,1,4503
104.0,Welsh Terrier,2,4503
104.0,West High White Terrier,34,4503
104.0,West Highland White Terrier,11,4503
104.0,Wheaton Terrier,29,4503
104.0,Whippet,5,4503
104.0,Wire Fox Terrier,11,4503
104.0,Yorkshire Terrier,229,4503
104.0,Yorkshire Terrier Crossbreed,29,4503
105.0,Airedale Terrier,3,1623
105.0,Akita Crossbreed,1,1623
105.0,Alaskan Malamute,1,1623
105.0,American Bully,2,1623
105.0,American Eskimo dog,7,1623
105.0,American Pit Bull Mix / Pit Bull Mix,15,1623
105.0,American Pit Bull Terrier/Pit Bull,4,1623
105.0,American Staffordshire Terrier ,2,1623
